base_currency,target_currency,pair_base_risk,markup_percent,amount_inr,money_at_stake_inr,is_risky
EUR,INR,0.15,0.026192213452517314,4136.6262853818525,108.34739864001529,0
KRW,INR,0.3,0.1152724485427587,1670.5725233025698,192.57098522934203,1
GBP,INR,0.2,0.06815833336709104,766.3151704654684,52.230764852844594,1
KRW,INR,0.3,0.04000169419860504,219.44477244928183,8.77816268099864,1
GBP,INR,0.2,0.060777763931419405,398.07821404405115,24.194303719410385,1
KRW,INR,0.3,0.067772761554766,264.6552928846918,17.936420058880977,1
EUR,INR,0.15,-0.003609568113129567,759.8394094913542,-2.742692103599192,0
USD,INR,0.15,0.0026650213410334567,641.7467251690487,1.7102687181138472,0
THB,INR,0.35,-0.005006346252647793,2073.364201745486,-10.379979101782597,0
AED,INR,0.4,0.08727174220802517,177.4489021712973,15.486274845390536,1
EUR,INR,0.15,0.03056362280257973,153.6976898280088,4.6975582175311565,0
KRW,INR,0.3,0.01807499493195744,124.94825242051176,2.258439029257689,0
AED,INR,0.4,0.015465957901346562,1916.2266536105815,29.636280754179456,0
GBP,INR,0.2,0.05595231011641158,463.43936902894797,25.930503296061804,1
AED,INR,0.4,-0.0015159692739946887,2365.031621530611,-3.585315270266242,0
EUR,INR,0.15,-0.013825694730412558,189.15282324044938,-2.615169191518139,0
AED,INR,0.4,0.08037429781495636,1930.0441388579943,155.12594241258344,1
USD,INR,0.15,0.02746100648027404,819.1952667682523,22.495926529332795,0
KRW,INR,0.3,0.07159422009912474,2144.4838060621755,153.5326456102241,1
KRW,INR,0.3,0.11141294499013374,172.6595952413335,19.236513986641448,1
AED,INR,0.4,0.03086988548076071,949.4412571470328,29.309142878838383,0
THB,INR,0.35,-0.013344071022801251,1704.5387498731975,-22.745486139424806,0
GBP,INR,0.2,-0.03,1783.4108280342316,-53.50232484102695,0
KRW,INR,0.3,0.013762226952764859,580.5027267579281,7.989010272341453,0
THB,INR,0.35,0.03258831226564606,680.4813376679782,22.175738322868614,0
AED,INR,0.4,0.05057301248353435,1787.3327296479736,90.39080044871649,0
EUR,INR,0.15,0.02253620828812013,2669.973919898821,60.1710883826884,0
GBP,INR,0.2,-0.00036911586013666127,124.15253642515806,-0.045826670270720384,0
GBP,INR,0.2,-0.00755132734693381,448.9023694327852,-3.389808738401175,0
THB,INR,0.35,-0.01175762386402685,362.1390073936095,-4.257894235426099,0
USD,INR,0.15,0.00011208871049266794,470.1424680283625,0.05269766298913952,0
EUR,INR,0.15,-0.002078066968782325,335.69599778694777,-0.6975987645534807,0
THB,INR,0.35,0.009612916499705528,643.6456007909716,6.187311415806408,0
EUR,INR,0.15,-0.03,644.3121730787145,-19.329365192361436,0
THB,INR,0.35,-0.0010441505806503219,601.2446346869621,-0.6277899344212821,0
THB,INR,0.35,0.018450566471878538,7111.620649995463,131.21342952552536,0
KRW,INR,0.3,0.0291824209676601,167.3770257511195,4.884466825784054,0
USD,INR,0.15,0.028195827854146677,316.4346577217503,8.922137136208297,0
AED,INR,0.4,0.02467142734500676,9214.621094989265,227.33785485679428,0
THB,INR,0.35,0.12768439303248416,733.0141215619527,93.5944631958775,1
USD,INR,0.15,-0.028766585776653315,722.1808337335514,-20.77467689985121,0
EUR,INR,0.15,0.020700321024735686,34.34173443527739,0.710884927356462,0
THB,INR,0.35,-0.010939534794077855,1499.1046047629359,-16.399506983766468,0
GBP,INR,0.2,-0.005640407380823295,355.32974750623765,-2.0042045304602607,0
THB,INR,0.35,0.01157061499332956,1214.29099035927,14.05009353931597,0
USD,INR,0.15,0.09376837038149523,185.34197210331172,17.379214687420088,1
USD,INR,0.15,0.033016667892826784,506.70706388244366,16.72977884715601,0
EUR,INR,0.15,0.07025753656545385,282.24579319066675,19.829894135538794,1
AED,INR,0.4,0.006425226632311834,65.268906916251,0.419367518980178,0
USD,INR,0.15,0.028362526622001144,211.58002286918972,6.000944031311004,0
THB,INR,0.35,-0.001563171505043804,175.03801428241923,-0.2736144362257281,0
USD,INR,0.15,-0.011691027249484365,792.3745707782176,-9.26367269876662,0
USD,INR,0.15,0.023490230039591643,110.17227038490809,2.5879719753255808,0
GBP,INR,0.2,0.016917269983250476,1794.7479959592843,30.362236399540947,0
KRW,INR,0.3,0.04411083618300797,2714.694449910336,119.74744216691577,0
THB,INR,0.35,0.02629445308768557,2148.6950878453663,56.498762187090406,1
USD,INR,0.15,-0.03,496.82539552116555,-14.904761865634965,0
GBP,INR,0.2,0.02183094061433862,609.4794942601657,13.305510644850813,0
USD,INR,0.15,0.004563575577399398,376.0383684446015,1.7160795143988996,0
THB,INR,0.35,0.0153523436032551,149.1740083084032,2.2901706322254367,0
GBP,INR,0.2,-0.012096435905028327,799.886727593271,-9.675778531614856,0
GBP,INR,0.2,-0.01138101297199527,193.93555036943283,-2.2071830144855573,0
KRW,INR,0.3,0.03707628107938193,2355.6275874681733,87.33791055131633,0
AED,INR,0.4,-0.028785848602266302,360.46978407773867,-10.37642863015341,0
AED,INR,0.4,0.04054192857788839,570.6169853394833,23.13391306496332,1
USD,INR,0.15,-0.009320630363439298,500.60515265942433,-4.665955585971595,0
GBP,INR,0.2,0.013745842908489948,787.6775784199546,10.827292255500467,0
THB,INR,0.35,0.04348238469736983,2457.1089552297744,106.84095683465351,1
EUR,INR,0.15,-0.003532136040999185,1689.4994917247795,-5.967542045970898,0
EUR,INR,0.15,0.06972589893481156,6075.967470817379,423.6522938014151,0
EUR,INR,0.15,0.056248193369360586,371.12512024909444,20.875117527998263,1
USD,INR,0.15,-0.00929547694391888,4883.229568254715,-45.39194786357464,0
KRW,INR,0.3,-0.028720716995602302,440.64745019911294,-12.655710712002483,0
GBP,INR,0.2,-0.02152209885837613,2001.0640367905207,-43.067098021746794,0
AED,INR,0.4,0.06305390492531583,2296.079340160327,144.77676841545116,0
USD,INR,0.15,0.04167277872966557,284.51803436968396,11.856657090887223,0
THB,INR,0.35,0.027477309546499726,1366.3195725362941,37.54278583402094,0
EUR,INR,0.15,-0.009823655004517734,139.7379090809323,-1.3727370098637446,1
KRW,INR,0.3,0.0018901138108150112,1248.2911322326358,2.3594123089508123,0
KRW,INR,0.3,0.03907909380387399,673.3597093241419,26.314287244427465,0
AED,INR,0.4,0.024194209193940622,794.5834997258225,19.224319414420012,0
KRW,INR,0.3,0.08265069438754653,773.800271698578,63.95512977315964,1
EUR,INR,0.15,-0.0053783419442832645,8379.815444795357,-45.06951289209559,0
USD,INR,0.15,0.03842543546583644,1137.1360842784984,43.69494922231739,0
KRW,INR,0.3,0.029092246953216324,287.3630336210455,8.360036339328861,1
GBP,INR,0.2,0.06983471537072614,315.05920584106246,22.002069964837613,1
THB,INR,0.35,0.04887306691591505,204.90769259651938,10.014467371855442,0
GBP,INR,0.2,-0.005555929122656978,434.160217577263,-2.4121633967366054,0
AED,INR,0.4,0.021216216851300127,605.1776066129238,12.839579335450592,0
EUR,INR,0.15,0.08615527617931416,1383.600334080145,119.20446890446624,1
THB,INR,0.35,0.0008059304336743289,344.7197680522004,0.27782015216242395,0
GBP,INR,0.2,0.029111955883142783,175.3183430859428,5.1038598694236565,0
THB,INR,0.35,0.0821498353083949,44.478662712736174,3.6539148165889217,1
EUR,INR,0.15,0.027048824282374095,458.3714548022802,12.398408937003056,0
THB,INR,0.35,0.07372146614064086,572.8189526852714,42.22905302510459,1
EUR,INR,0.15,-0.010455517080836816,8191.601743667398,-85.64743195032713,0
USD,INR,0.15,-0.026016318470170413,918.903567724581,-23.906487861298505,0
AED,INR,0.4,-0.007478664452297933,658.1412306266866,-4.9220174260794165,0
KRW,INR,0.3,0.0022726872700769545,1745.1148719219416,3.9661003542389714,0
